"Search Criteria: "

"Filing Operator:",,,"APACHE CORPORATION (027200)",,,,,,District:,,Statewide
"Prod Month:",,," Feb 2016",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
Y,Gas,03,258740,"MAGNET WITHERS (F- 9)","PIERCE ESTATE"," B156  ",,,0,0,,,0,"1,293",542,"   01  "
,,,,,,,,,,,,,,,751,"   02  "
Y,Gas,03,280593,"MAGNET WITHERS (F- 9)","PIERCE ESTATE"," C255  ",,0776,0,0,,,0,"2,918",310,"   01  "
,,,,,,,,,,,,,,,"2,608","   02  "
,Gas,03,205361,"MAGNET WITHERS (F-10)","PIERCE ESTATES"," C233  ",,,0,0,,,0,0,,
Y,Gas,03,245427,"MAGNET WITHERS (F-11)","PIERCE ESTATES B","  146  ",,,0,64,57,"   01  ",7,"1,573",167,"   01  "
,,,,,,,,,,,,,,,"1,406","   02  "
,Gas,03,222733,"MAGNET WITHERS (F-12)","PIERCE ESTATES"," B151  ",,,0,0,,,0,0,,
Y,Gas,03,272056,"MAGNET WITHERS (F-13)","PIERCE ESTATES"," C235  ",,,0,0,,,0,"7,263",772,"   01  "
,,,,,,,,,,,,,,,"6,491","   02  "
Y,Gas,03,276354,"MAGNET WITHERS (F-13)","PIERCE ESTATE"," B157  ",,,0,0,,,0,"1,403",753,"   01  "
,,,,,,,,,,,,,,,650,"   02  "
Y,Gas,03,276982,"MAGNET WITHERS (F-13)","PIERCE ESTATE"," C257  ",,,0,0,,,0,"4,473",476,"   01  "
,,,,,,,,,,,,,,,"3,997","   02  "
Y,Oil,03,24339,"MAGNET WITHERS (F-13-A)","PIERCE ESTATES B",,,0776,169,"2,194","2,122","   01  ",241,"4,066","2,098","   01  "
,,,,,,,,,,,,,,,"1,968","   02  "
Y,Oil,03,26832,"MAGNET WITHERS (F-14)","PIERCE ESTATE",,,,11,72,75,"   01  ",8,512,154,"   01  "
,,,,,,,,,,,,,,,358,"   02  "
Y,Gas,03,280589,"MAGNET WITHERS (F-14)","PIERCE ESTATES"," B153  ",,,0,0,,,0,"2,173",477,"   01  "
,,,,,,,,,,,,,,,"1,696","   02  "
,Oil,03,26459,"MAGNET WITHERS (F-15)","PIERCE ESTATE",,,0776,1,0,1,"   01  ",0,0,,
,Gas,03,258289,"MAGNET WITHERS (F-15-B)","PIERCE ESTATES B"," B153  ",,,0,0,,,0,0,,
Y,Oil,03,25554,"MAGNET WITHERS (F-16)","PIERCE ESTATE",,,0776,5,58,57,"   01  ",6,"1,453",792,"   01  "
,,,,,,,,,,,,,,,661,"   02  "
Y,Oil,03,24211,"MAGNET WITHERS (F-17)","PIERCE ESTATES C",,,0776,27,245,245,"   01  ",27,674,674,"   01  "
Y,Oil,03,25798,"MAGNET WITHERS (F-18, EAST)","PIERCE ESTATE",,,0776,14,182,176,"   01  ",20,"1,925",925,"   01  "
,,,,,,,,,,,,,,,"1,000","   02  "
Y,Oil,03,24959,"MAGNET WITHERS (F-19)","PIERCE ESTATES C",,,,170,"1,767","1,743","   01  ",194,"1,882","1,279","   01  "
,,,,,,,,,,,,,,,603,"   02  "
Y,Oil,03,07164,"MAGNET WITHERS (F-21)","PIERCE ESTATES",,,,53,656,637,"   01  ",72,"1,400",835,"   01  "
,,,,,,,,,,,,,,,565,"   02  "
Y,Oil,03,07163,"MAGNET WITHERS (F-22)","PIERCE ESTATES C",,,0776,7,64,64,"   01  ",7,206,206,"   01  "
,Oil,03,25637,"MAGNET WITHERS (F-22)","PIERCE ESTATE",,,0776,0,0,,,0,0,,
Y,Gas,03,280588,"MAGNET WITHERS (F-22)","PIERCE ESTATE"," B162  ",,,35,400,391,"   01  ",44,"1,517",584,"   01  "
,,,,,,,,,,,,,,,933,"   02  "
Y,Oil,03,25205,"MAGNET WITHERS (F-22 A)","PIERCE ESTATE C",,,0776,35,313,314,"   01  ",34,245,245,"   01  "
,Gas,03,202598,"MAGNET WITHERS (F-25)","PIERCE ESTATES"," C239  ",,,0,0,,,0,0,,
,Gas,03,272055,"MAGNET WITHERS (F-25)","PIERCE ESTATE"," B162  ",,,0,0,,,0,0,,
,Gas,03,263815,"MAGNET WITHERS (F-26 A)","PIERCE ESTATE"," B162  ",,0776,0,0,,,0,0,,
Y,Oil,03,25285,"MAGNET WITHERS (FRIO CONS.)","PIERCE ESTATE C",,,0776,29,244,246,"   01  ",27,261,261,"   01  "
Y,Oil,03,25797,"MAGNET WITHERS (FRIO CONS.)","BROUSSARD, J. E. NCT-1",,,,120,"1,034",985,"   00  ",169,"1,451","1,068","   01  "
,,,,,,,,,,,,,,,383,"   02  "
,Gas,03,275347,"MAGNET WITHERS (FRIO CONS.)","PIERCE ESTATE"," B158  ",,,0,0,,,0,0,,
,Gas,03,256747,"MAGNET WITHERS (M-5)","PIERCE ESTATES C","   11  ",,,0,0,,,0,0,,
,Gas,03,271288,"MAGNET WITHERS (M-6)","BROUSSARD, J. E.","   38  ",,,0,0,,,0,0,,
,Gas,03,258258,"MAGNET WITHERS (M-7)","PIERCE ESTATES"," C215  ",,,0,0,,,0,0,,
,Gas,03,135591,"MAGNET WITHERS (MARGINULINA 1)","DEBRUHL, H. E.","    2  ",,,0,0,,,0,0,,
,Gas,03,190102,"MAGNET WITHERS (MARGINULINA 1)","PIERCE ESTATES"," C222  ",,,0,0,,,0,0,,
,Gas,03,191425,"MAGNET WITHERS (MARGINULINA 1)","MARG. 1 GAS UNIT","   47  ",,,0,0,,,0,0,,
,Gas,03,196516,"MAGNET WITHERS (MARGINULINA 1)","PIERCE ESTATES"," C 24  ",,,0,0,,,0,0,,
,Gas,03,196517,"MAGNET WITHERS (MARGINULINA 1)","PIERCE ESTATES"," C  4  ",,,0,0,,,0,0,,
,Gas,03,205453,"MAGNET WITHERS (MARGINULINA 1)","PIERCE ESTATES"," C 52  ",,,0,0,,,0,0,,
,Gas,03,218917,"MAGNET WITHERS (MARGINULINA 1)","PIERCE ESTATES"," C220  ",,,0,0,,,0,0,,
,Gas,03,273497,"MAGNET WITHERS (MARGINULINA 1)","FRANZ, J.H.","    6  ",,,0,0,,,0,0,,
,Gas,03,261368,"MAGNET WITHERS (MIOCENE UPPER)","PIERCE ESTATES"," C234  ",,0776,0,0,,,0,0,,
Y,Gas,03,276983,"MAGNET WITHERS (MIOCENE 3000)","PIERCE ESTATE"," C262  ",,,0,0,,,0,"1,844",196,"   01  "
,,,,,,,,,,,,,,,"1,648","   02  "
,Gas,03,220169,"MAGNET WITHERS (MIOCENE 4000)","PIERCE ESTATES"," C223  ",,,0,0,,,0,0,,
,Gas,03,225954,"MAGNET WITHERS (MIOCENE 4000)","BROUSSARD, J. E.","   12  ",,,0,0,,,0,0,,
,Gas,03,228618,"MAGNET WITHERS (MIOCENE 4000)","FRANZ, J. H.","    1  ",,,9,0,9,"   01  ",0,0,,
,Gas,03,263339,"MAGNET WITHERS (MIOCENE 4000)","PIERCE ESTATES"," C171  ",,0776,0,0,,,0,0,,
,Gas,03,255247,"MAGNET WITHERS (MIOCENE 4150)","J H FRANZ","    4  ",,,0,0,,,0,0,,
,Gas,03,271800,"MAGNET WITHERS (MIOCENE 4150)","PIERCE ESTATES"," C139  ",,,0,0,,,0,0,,
Y,Gas,03,204404,"MAGNET WITHERS (MIOCENE 4200)","PIERCE ESTATES"," C176  ",,,0,0,,,0,"3,754","1,286","   01  "
,,,,,,,,,,,,,,,"2,468","   02  "
Y,Oil,03,03349,"PICKETT RIDGE","PIERCE ESTATES -A-",,,,467,"1,786","1,970","   01  ",283,0,,
